No. of Pixels,Height,Width,Optimization Success,Result,Execution Time,Layers,Min-Cut Cost,Optimization Cost,Iterations,Optimizer Method,Seed,Exact Min-Cut Value,Relative Error
16,4,4,True,1110011110111010,84.800094,5,4.15,-5.9644,988,L-BFGS-B,333,-3.57,2.162464985994398
16,4,4,False,0000000000000000,0.522919,1,0.0,0.0,6,SLSQP,333,-3.57,1.0
16,4,4,True,0000110111110000,16.220203,2,5.64,0.1704,193,SLSQP,333,-3.57,2.579831932773109
16,4,4,True,1111110100101001,31.693565,3,8.86,2.6007,376,SLSQP,333,-3.57,3.481792717086835
16,4,4,True,0000000000000100,90.819837,4,1.41,2.8375,1067,SLSQP,333,-3.57,1.3949579831932772
16,4,4,True,1110010101101110,100.411185,5,9.69,6.8606,1167,SLSQP,333,-3.57,3.7142857142857144
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,4.346164,1,0.0,0.0,43,COBYLA,333,-10.5,1.0
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,8.949811,2,0.0,0.0,85,COBYLA,333,-10.5,1.0
64,8,8,True,1111111111111111111111111111111111111111111111111111111111111111,16.474659,3,0.0,-57.1335,158,COBYLA,333,-10.5,1.0
64,8,8,True,1111111111011110111111111111111111111111110011001101110111111111,28.636606,4,5.32,-58.7454,273,COBYLA,333,-10.5,1.5066666666666666
64,8,8,True,1111111111011011000000001110000011111111111110111111111111111111,37.533868,5,3.38,-55.2828,351,COBYLA,333,-10.5,1.321904761904762
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,2.233208,1,0.0,0.0,22,Powell,333,-10.5,1.0
